superkingdom;phylum;class;order;family;genus;species;;Eau18S;Normalisation (%);Sol18S;Normalisation (%)
ASV_877;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Barnettozyma;Barnettozyma californica;0;;0;
ASV_1237;Eukaryota;Evosea;Variosea;NA;Flamellidae;Flamella;Flamella arnhemensis;0;;0;
ASV_1313;Eukaryota;Nematoda;Enoplea;Trichinellida;Capillariidae;Aonchotheca;NA;0;;0;
ASV_1376;Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Didymosphaeriaceae;Montagnula;Montagnula chromolaenae;0;;9;
ASV_785;Eukaryota;Tubulinea;Elardia;NA;NA;NA;NA;35;;40;
ASV_1346;Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Clavaria;Clavaria zollingeri;0;;0;
ASV_1349;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Gamsiella;Gamsiella multidivaricata;0;;0;
ASV_2493;Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Dumontiaceae;Kraftia;Kraftia dichotoma;0;;0;
ASV_906;Eukaryota;Zoopagomycota;Zoopagomycetes;Zoopagales;Zoopagaceae;Acaulopage;Acaulopage tetraceros;36;;176;
ASV_712;Eukaryota;Ascomycota;Dothideomycetes;NA;NA;NA;NA;0;;37;
ASV_1290;Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;Opisthonectidae;Opisthonecta;Opisthonecta minima;0;;17;
ASV_803;Eukaryota;Ciliophora;Litostomatea;Haptorida;Spathidiidae;Spathidium;Spathidium papilliferum;0;;0;
ASV_1428;Eukaryota;Discosea;NA;Longamoebia;Acanthamoebidae;Acanthamoeba;Acanthamoeba castellanii;0;;0;
ASV_1596;Eukaryota;NA;Bigyra;Bicosoecida;Siluaniidae;Nerada;Nerada mexicana;0;;0;
ASV_1537;Eukaryota;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Coltricia;Coltricia wenshanensis;0;;0;
ASV_2392;Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia microti;0;;0;
ASV_1480;Eukaryota;Ascomycota;Eurotiomycetes;Onygenales;NA;Polytolypa;Polytolypa hystricis;0;;0;
ASV_1484;Eukaryota;Evosea;Eumycetozoa;Trichiida;Trichiidae;Trichia;Trichia varia;0;;0;
ASV_1485;Eukaryota;Ciliophora;Colpodea;Colpodida;Colpodidae;Colpoda;NA;0;;0;
ASV_1487;Eukaryota;Basidiomycota;Agaricomycetes;Lepidostromatales;Lepidostromataceae;Sulzbacheromyces;Sulzbacheromyces miomboensis;0;;0;
ASV_2014;Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia conradae;0;;0;
ASV_827;Eukaryota;Ciliophora;Litostomatea;Haptorida;Spathidiidae;Spathidium;Spathidium simplinucleatum;0;;80;
ASV_1230;Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia duncani;0;;36;
ASV_1510;Eukaryota;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Chytriomyces;Chytriomyces hyalinus;0;;0;
ASV_1595;Eukaryota;Arthropoda;Arachnida;Mesostigmata;Trachytidae;Trachytes;Trachytes baloghi;0;;0;
ASV_1970;Eukaryota;Evosea;Eumycetozoa;Trichiida;Trichiidae;Trichia;Trichia alpina;0;;0;
ASV_678;Eukaryota;Ciliophora;Litostomatea;Haptorida;Spathidiidae;NA;NA;0;;83;
ASV_1533;Eukaryota;Oomycota;NA;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora capsici;13;;0;
ASV_1538;Eukaryota;Cnidaria;Anthozoa;Actiniaria;NA;NA;NA;0;;0;
ASV_1092;Eukaryota;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Nicotiana;Nicotiana benthamiana;0;;8;
ASV_1482;Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Hodophilus;Hodophilus hymenocephalus;0;;0;
ASV_714;Eukaryota;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Chytridium;Chytridium polysiphoniae;0;;89;
ASV_1597;Eukaryota;Tubulinea;Elardia;Leptomyxida;NA;NA;NA;0;;0;
ASV_1738;Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Geranomyces;Geranomyces tanneri;0;;0;
ASV_751;Eukaryota;Chytridiomycota;Chytridiomycetes;Synchytriales;Synchytriaceae;Synchytrium;Synchytrium macrosporum;0;;12;
ASV_806;Eukaryota;NA;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas;NA;0;;0;
ASV_1634;Eukaryota;Streptophyta;Polypodiopsida;Ophioglossales;Ophioglossaceae;NA;NA;0;;0;
ASV_1635;Eukaryota;Cnidaria;Anthozoa;Actiniaria;Halcampoididae;Halcampoides;Halcampoides purpureus;0;;0;
ASV_1638;Eukaryota;Ascomycota;Sordariomycetes;NA;NA;NA;NA;0;;0;
ASV_1641;Eukaryota;Bacillariophyta;Coscinodiscophyceae;NA;NA;NA;NA;0;;0;
ASV_1646;Eukaryota;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Carpinus;Carpinus betulus;0;;0;
ASV_1649;Eukaryota;Ciliophora;Litostomatea;Haptorida;NA;NA;NA;0;;0;
ASV_1655;Eukaryota;Discosea;NA;Longamoebia;Acanthamoebidae;Acanthamoeba;Acanthamoeba divionensis;0;;0;
ASV_1800;Eukaryota;Chytridiomycota;Monoblepharidomycetes;Monoblepharidales;NA;Hyaloraphidium;Hyaloraphidium curvatum;0;;3;
ASV_2095;Eukaryota;NA;NA;NA;Alphamonaceae;Alphamonas;Alphamonas edax;0;;12;
ASV_2373;Eukaryota;Cryptomycota;NA;NA;NA;Nucleophaga;Nucleophaga terricolae;0;;0;
ASV_935;Eukaryota;Cercozoa;Thecofilosea;Tectofilosida;NA;NA;NA;0;;51;
ASV_1034;Eukaryota;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Chytridium;Chytridium olla;6;;45;
ASV_1687;Eukaryota;Rotifera;Eurotatoria;Ploima;NA;NA;NA;0;;0;
ASV_1691;Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Sarcocystidae;Sarcocystis;NA;0;;0;
ASV_1694;Eukaryota;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Sporothrix;Sporothrix schenckii;0;;0;
ASV_1901;Eukaryota;Zoopagomycota;Zoopagomycetes;Zoopagales;Sigmoideomycetaceae;Thamnocephalis;Thamnocephalis sphaerospora;0;;11;
ASV_1164;Eukaryota;Arthropoda;Arachnida;Opiliones;Triaenonychidae;Equitius;Equitius doriae;0;;0;
ASV_1268;Eukaryota;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Vulpicida;Vulpicida pinastri;0;;3;
ASV_1517;Eukaryota;Ciliophora;Colpodea;Cyrtolophosidida;Cyrtolophosididae;Pseudocyrtolophosis;Pseudocyrtolophosis alpestris;0;;18;
ASV_1739;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kodamaea;Kodamaea ohmeri;0;;0;
ASV_1741;Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Thoreauomyces;Thoreauomyces humboldtii;0;;0;
ASV_1742;Eukaryota;NA;Dinophyceae;Phytodiniales;Phytodiniaceae;Spiniferodinium;Spiniferodinium palustre;0;;0;
ASV_2036;Eukaryota;Ciliophora;Phyllopharyngea;Chlamydodontida;Lynchellidae;Coeloperix;Coeloperix sleighi;0;;0;
ASV_804;Eukaryota;Porifera;Demospongiae;Dictyoceratida;Irciniidae;Ircinia;Ircinia strobilina;0;;69;
ASV_1072;Eukaryota;Ciliophora;Oligohymenophorea;Mobilida;Trichodinidae;Urceolaria;Urceolaria urechi;0;;13;
ASV_1793;Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida;Oxytrichidae;Hemiurosomoida;Hemiurosomoida longa;0;;0;
ASV_1805;Eukaryota;NA;Synurophyceae;Synurales;Synuraceae;Chrysosphaerella;Chrysosphaerella rotundata;0;;0;
ASV_111;Eukaryota;NA;Dinophyceae;NA;NA;NA;NA;4;;299;
ASV_533;Eukaryota;Ciliophora;Phyllopharyngea;Chlamydodontida;Chilodonellidae;Pseudochilodonopsis;Pseudochilodonopsis fluviatilis;0;;90;
ASV_647;Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Lolium;Lolium letourneuxianum;0;;0;
ASV_709;Eukaryota;NA;Phaeophyceae;Dictyotales;Dictyotaceae;Padina;Padina tenuis;0;;16;
ASV_2021;Eukaryota;Evosea;Variosea;NA;Flamellidae;Flamella;Flamella balnearia;0;;21;
ASV_2290;Eukaryota;NA;NA;NA;Chromeraceae;Chromera;Chromera velia;0;;0;
ASV_1502;Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;NA;NA;NA;0;;55;
ASV_1892;Eukaryota;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces;Sporobolomyces koalae;0;;0;
ASV_1893;Eukaryota;Arthropoda;Diplopoda;Polydesmida;Polydesmidae;Polydesmus;Polydesmus coriaceus;0;;0;
ASV_1909;Eukaryota;Ciliophora;Colpodea;NA;NA;NA;NA;0;;7;
ASV_2097;Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Gaertneriomyces;Gaertneriomyces spectabilis;12;;0;
ASV_1343;Eukaryota;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Lamprospora;Lamprospora ascoboloides;0;;0;
ASV_1452;Eukaryota;Ascomycota;Dothideomycetes;Mycosphaerellales;Dissoconiaceae;NA;NA;0;;53;
ASV_1571;Eukaryota;NA;Filasterea;NA;NA;Pigoraptor;NA;0;;3;
ASV_1951;Eukaryota;Cercozoa;NA;NA;NA;NA;NA;0;;0;
ASV_1952;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia chibodasensis;0;;0;
ASV_1956;Eukaryota;Evosea;Eumycetozoa;Trichiida;Trichiidae;Perichaena;Perichaena luteola;0;;0;
ASV_1960;Eukaryota;Cercozoa;Imbricatea;Spongomonadida;Spongomonadidae;Spongomonas;Spongomonas minima;0;;5;
ASV_1963;Eukaryota;Ascomycota;Sordariomycetes;Xylariales;Apiosporaceae;Apiospora;NA;0;;0;
ASV_2211;Eukaryota;Zoopagomycota;Zoopagomycetes;Zoopagales;Piptocephalidaceae;Piptocephalis;Piptocephalis lepidula;0;;0;
ASV_222;Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Trimorphomycetaceae;Saitozyma;Saitozyma podzolica;0;;66;
ASV_989;Eukaryota;NA;NA;Telonemida;NA;Telonema;Telonema antarcticum;0;;22;
ASV_1084;Eukaryota;Discosea;NA;Longamoebia;Acanthamoebidae;Protacanthamoeba;Protacanthamoeba bohemica;0;;67;
ASV_2015;Eukaryota;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum triestinum;0;;0;
ASV_2016;Eukaryota;NA;Choanoflagellata;Acanthoecida;Stephanoecidae;Didymoeca;Didymoeca costata;0;;0;
ASV_2018;Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;NA;NA;NA;0;;0;
ASV_2038;Eukaryota;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Prillingera;Prillingera fragicola;0;;0;
ASV_2198;Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Aplanochytrium;Aplanochytrium stocchinoi;0;;0;
ASV_2276;Eukaryota;Ascomycota;Sordariomycetes;Lulworthiales;Lulworthiaceae;Paralulworthia;NA;0;;0;
ASV_2296;Eukaryota;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Pendulichytrium;Pendulichytrium sphaericum;0;;0;
ASV_2302;Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;NA;0;;0;
ASV_41;Eukaryota;NA;Bigyra;Oblongichytrida;NA;Oblongichytrium;Oblongichytrium minutum;0;;0;
ASV_690;Eukaryota;NA;Choanoflagellata;Craspedida;Salpingoecidae;Monosiga;Monosiga ovata;0;;22;
ASV_736;Eukaryota;NA;NA;Ancyromonadida;Ancyromonadidae;Ancyromonas;Ancyromonas sigmoides;0;;70;
ASV_2091;Eukaryota;Ctenophora;Tentaculata;Cydippida;Pleurobrachiidae;Hormiphora;Hormiphora plumosa;0;;0;
ASV_2093;Eukaryota;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Rhizidium;Rhizidium phycophilum;0;;0;
ASV_2101;Eukaryota;Basidiomycota;Agaricomycetes;Boletales;Boletinellaceae;Boletinellus;Boletinellus merulioides;0;;0;
ASV_2102;Eukaryota;Mucoromycota;NA;NA;NA;NA;NA;0;;0;
ASV_2117;Eukaryota;Cnidaria;Anthozoa;NA;NA;NA;NA;0;;0;
ASV_2120;Eukaryota;Oomycota;NA;Pythiales;Pythiaceae;Pythium;Pythium amasculinum;0;;0;
ASV_1015;Eukaryota;NA;Phaeothamniophyceae;Phaeothamniales;Phaeothamniaceae;Phaeothamnion;Phaeothamnion confervicola;23;;37;
ASV_1293;Eukaryota;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Blastocladiella;Blastocladiella emersonii;0;;0;
ASV_1675;Eukaryota;Ciliophora;Oligohymenophorea;Philasterida;Orchitophryidae;Paranophrys;Paranophrys marina;0;;21;
ASV_1861;Eukaryota;NA;Choanoflagellata;Craspedida;Salpingoecidae;Monosiga;Monosiga brevicollis;3;;17;
ASV_1954;Eukaryota;Ascomycota;Schizosaccharomycetes;Schizosaccharomycetales;Schizosaccharomycetaceae;Schizosaccharomyces;Schizosaccharomyces japonicus;0;;0;
ASV_2179;Eukaryota;Chlorophyta;NA;NA;NA;NA;NA;0;;0;
ASV_2186;Eukaryota;Basidiomycota;Agaricomycetes;Phallales;Phallaceae;Phallus;Phallus hadriani;0;;0;
ASV_2487;Eukaryota;Zoopagomycota;Zoopagomycetes;Zoopagales;Piptocephalidaceae;Piptocephalis;Piptocephalis xenophila;0;;0;
ASV_114;Eukaryota;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Cutaneotrichosporon;Cutaneotrichosporon dermatis;0;;4;
ASV_429;Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcaceae;Chlorococcum;Chlorococcum elkhartiense;8;;215;
ASV_648;Eukaryota;Oomycota;NA;Saprolegniales;Saprolegniaceae;Aphanomyces;Aphanomyces sp. APH3;16;;0;
ASV_1587;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Podila;Podila epigama;0;;25;
ASV_2270;Eukaryota;Chordata;Actinopteri;NA;NA;NA;NA;0;;0;
ASV_2275;Eukaryota;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA;Pfiesteria-like sp. CCMP1838;0;;6;
ASV_2280;Eukaryota;Basidiomycota;Cystobasidiomycetes;NA;NA;Sakaguchia;Sakaguchia lamellibrachiae;0;;0;
ASV_2282;Eukaryota;Porifera;Demospongiae;Dendroceratida;Dictyodendrillidae;Igernella;Igernella notabilis;0;;0;
ASV_387;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Blastobotrys;NA;0;;111;
ASV_663;Eukaryota;Chordata;Mammalia;NA;NA;NA;NA;35;;0;
ASV_720;Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;Vishniacozyma heimaeyensis;0;;11;
ASV_1898;Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Tremella;NA;0;;0;
ASV_2347;Eukaryota;Chytridiomycota;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;NA;NA;0;;22;
ASV_2369;Eukaryota;Basidiomycota;Agaricomycetes;Cantharellales;Tulasnellaceae;Tulasnella;Tulasnella violea;0;;0;
ASV_2374;Eukaryota;Evosea;Variosea;NA;Flamellidae;NA;NA;0;;0;
ASV_2381;Eukaryota;Basidiomycota;Dacrymycetes;Dacrymycetales;Dacrymycetaceae;Dacrymyces;Dacrymyces minutus;0;;0;
ASV_2384;Eukaryota;Porifera;Demospongiae;Axinellida;Raspailiidae;Janulum;Janulum spinispiculum;0;;0;
ASV_2385;Eukaryota;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Cystobasidium;Cystobasidium lysinophilum;0;;0;
ASV_2390;Eukaryota;Picozoa;Picomonadea;Picomonadida;Picomonadidae;Picomonas;Picomonas judraskeda;0;;7;
ASV_943;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;NA;0;;13;
ASV_1161;Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcaceae;Chlorococcum;Chlorococcum chlorococcoides;0;;11;
ASV_1195;Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Tetracystaceae;Tetracystis;Tetracystis diplobionticoidea;0;;25;
ASV_1216;Eukaryota;NA;Aphelidea;NA;NA;Amoeboaphelidium;Amoeboaphelidium protococcarum;0;;27;
ASV_1599;Eukaryota;NA;NA;Jakobida;Andaluciidae;Andalucia;Andalucia godoyi;0;;14;
ASV_2063;Eukaryota;Mucoromycota;Endogonomycetes;Endogonales;Endogonaceae;Vinositunica;Vinositunica ingens;0;;14;
ASV_2479;Eukaryota;Basidiomycota;Agaricostilbomycetes;Agaricostilbales;Kondoaceae;Kondoa;NA;0;;0;
ASV_2482;Eukaryota;Ciliophora;Phyllopharyngea;Endogenida;Acinetidae;Acineta;Acineta flava;0;;0;
ASV_2485;Eukaryota;Zoopagomycota;Zoopagomycetes;Zoopagales;NA;NA;NA;0;;0;
ASV_2492;Eukaryota;NA;Glaucocystophyceae;NA;Cyanophoraceae;Cyanophora;Cyanophora paradoxa;0;;4;
ASV_2497;Eukaryota;Cnidaria;Anthozoa;Actiniaria;Actiniidae;Anthopleura;Anthopleura handi;0;;0;
ASV_2500;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia kudriavzevii;0;;0;
ASV_2507;Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Cuniculitremaceae;Sterigmatosporidium;Sterigmatosporidium polymorphum;0;;0;
ASV_2823;Eukaryota;Evosea;Variosea;NA;Flamellidae;Flamella;Flamella aegyptia;0;;0;
ASV_3001;Eukaryota;NA;Ichthyosporea;Ichthyophonida;NA;Anurofeca;Anurofeca richardsi;0;;0;
ASV_749;Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Bracteacoccaceae;Bracteacoccus;Bracteacoccus ruber;0;;70;
ASV_1155;Eukaryota;Discosea;NA;Stygamoebida;NA;Vermistella;Vermistella antarctica;0;;36;
ASV_1658;Eukaryota;Mucoromycota;NA;Calcarisporiellales;Calcarisporiellaceae;Calcarisporiella;Calcarisporiella thermophila;0;;0;
ASV_2025;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Trichomonascus;[Candida] allociferrii;0;;0;
ASV_2432;Eukaryota;Basidiomycota;Agaricomycetes;Russulales;Lachnocladiaceae;Asterostroma;Asterostroma andinum;0;;0;
ASV_2520;Eukaryota;NA;Hyphochytriomycetes;NA;Hyphochytriaceae;Hyphochytrium;Hyphochytrium catenoides;0;;0;
ASV_2527;Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chloromonas;Chloromonas kasaiae;5;;0;
ASV_2592;Eukaryota;NA;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca macrocollata;0;;0;
ASV_2594;Eukaryota;NA;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium;Alexandrium fraterculus;0;;0;
ASV_2600;Eukaryota;Chytridiomycota;Chytridiomycetes;Polychytriales;NA;Polychytrium;Polychytrium aggregatum;0;;0;
ASV_2603;Eukaryota;NA;NA;NA;NA;Palpitomonas;Palpitomonas bilix;0;;0;
ASV_2608;Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Taraxacum;NA;0;;0;
ASV_2612;Eukaryota;Ascomycota;Dothideomycetes;Hysteriales;Hysteriaceae;Hysterium;Hysterium barrianum;0;;0;
ASV_2618;Eukaryota;Streptophyta;Magnoliopsida;Celastrales;Celastraceae;Euonymus;NA;0;;0;
ASV_2632;Eukaryota;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;NA;NA;0;;0;
ASV_2636;Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium aureolum;0;;0;
ASV_689;Eukaryota;Basidiomycota;Agaricomycetes;Polyporales;Postiaceae;NA;NA;0;;49;
ASV_797;Eukaryota;Tubulinea;Elardia;Euamoebida;NA;NA;NA;44;;20;
ASV_1177;Eukaryota;Gastrotricha;NA;Chaetonotida;Chaetonotidae;Lepidodermella;Lepidodermella squamata;0;;38;
ASV_1458;Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Gaertneriomyces;NA;0;;0;
ASV_2022;Eukaryota;Chlorophyta;Mamiellophyceae;Monomastigales;Monomastigaceae;Monomastix;Monomastix minuta;0;;7;
ASV_2706;Eukaryota;Cercozoa;Imbricatea;Euglyphida;Euglyphidae;Euglypha;NA;0;;0;
ASV_2712;Eukaryota;Chlorophyta;Ulvophyceae;Trentepohliales;Trentepohliaceae;Cephaleuros;Cephaleuros virescens;5;;0;
ASV_2713;Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chloromonas;Chloromonas remiasii;0;;0;
ASV_2716;Eukaryota;NA;Ichthyosporea;Dermocystida;NA;NA;NA;0;;0;
ASV_2719;Eukaryota;Perkinsozoa;NA;Perkinsida;Perkinsidae;Perkinsus;NA;0;;2;
ASV_2720;Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus insolitus;0;;0;
ASV_2726;Eukaryota;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;Archaeorhizomyces finlayi;0;;0;
ASV_2727;Eukaryota;Chytridiomycota;Chytridiomycetes;Chytridiales;NA;Pseudorhizidium;Pseudorhizidium endosporangiatum;0;;0;
ASV_2733;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Linnemannia;Linnemannia acrotona;0;;0;
ASV_2742;Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Pseudosperma;Pseudosperma pluviorum;0;;0;
ASV_2747;Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Ankistrodinium;Ankistrodinium semilunatum;0;;0;
ASV_1;Eukaryota;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Chamaedrilus;Chamaedrilus cognettii;0;;2074;
ASV_1103;Eukaryota;Endomyxa;NA;Vampyrellida;Leptophryidae;Arachnula;Arachnula impatiens;0;;71;
ASV_1217;Eukaryota;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;NA;NA;0;;30;
ASV_1643;Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sordida;0;;0;
ASV_1957;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Sugiyamaella;Sugiyamaella paludigena;0;;9;
ASV_2023;Eukaryota;NA;Chrysophyceae;Chromulinales;Oikomonadaceae;Oikomonas;Oikomonas mutabilis;0;;8;
ASV_2826;Eukaryota;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Plagiodinium;Plagiodinium belizeanum;0;;0;
ASV_2838;Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;Theileriidae;Theileria;Theileria cervi;0;;0;
ASV_2839;Eukaryota;NA;NA;NA;NA;Syssomonas;Syssomonas multiformis;0;;0;
ASV_2844;Eukaryota;Ciliophora;Litostomatea;Haptorida;Spathidiidae;Spathidium;Spathidium claviforme;0;;0;
ASV_2850;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia cephalocereana;0;;0;
ASV_3316;Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Prototheca;Prototheca cutis;0;;0;
ASV_32;Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Plakina;Plakina jani;0;;2214;
ASV_148;Eukaryota;Chlorophyta;Chlorophyceae;Chlorosarcinales;Chlorosarcinaceae;Chlorosarcinopsis;Chlorosarcinopsis eremi;0;;444;
ASV_274;Eukaryota;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Tausonia;Tausonia pamirica;0;;1;
ASV_396;Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;Vorticellidae;Pseudovorticella;Pseudovorticella punctata;0;;0;
ASV_430;Eukaryota;Oomycota;NA;Lagenidiales;Lagenidiaceae;Lagenidium;Lagenidium sp. strain LEV5848;0;;128;
ASV_526;Eukaryota;NA;Chrysophyceae;Chromulinales;Chrysolepidomonadaceae;Chrysolepidomonas;Chrysolepidomonas dendrolepidota;13;;106;
ASV_594;Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces;NA;0;;0;
ASV_1860;Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces;Spizellomyces punctatus;0;;0;
ASV_2286;Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae;Helicotheca;Helicotheca tamesis;10;;3;
ASV_2317;Eukaryota;Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis;NA;0;;0;
ASV_2548;Eukaryota;Cercozoa;Imbricatea;Euglyphida;Trinematidae;Trinema;Trinema enchelys;9;;0;
ASV_2805;Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcaceae;Chlorococcum;Chlorococcum lobatum;0;;7;
ASV_2969;Eukaryota;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Discostella;NA;0;;0;
ASV_2983;Eukaryota;Ascomycota;Sordariomycetes;Sordariales;Podosporaceae;Podospora;Podospora striatispora;0;;0;
ASV_2984;Eukaryota;Arthropoda;Arachnida;Mesostigmata;Varroidae;Varroa;Varroa destructor;0;;0;
ASV_2988;Eukaryota;Endomyxa;Phytomyxea;Plasmodiophorida;Plasmodiophoridae;Plasmodiophora;Plasmodiophora brassicae;0;;0;
ASV_2998;Eukaryota;Basidiomycota;Microbotryomycetes;NA;Chrysozymaceae;NA;NA;0;;0;
ASV_3011;Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Margalefidinium;Margalefidinium polykrikoides;0;;0;
ASV_3026;Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Nectria;Nectria cinnabarina;0;;0;
ASV_3040;Eukaryota;Porifera;Demospongiae;Tetractinellida;Scleritodermidae;Aciculites;Aciculites ciliata;0;;4;
ASV_11;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum;Geotrichum candidum;23;;21;
ASV_673;Eukaryota;Cnidaria;Anthozoa;Actiniaria;Diadumenidae;Diadumene;Diadumene cincta;0;;76;
