superkingdom;phylum;class;order;family;genus;species;;Eau18S;Normalisation (%);Sol18S;Normalisation (%)
ASV_366;Eukaryota;Chytridiomycota;Chytridiomycetes;NA;NA;Catenomyces;Catenomyces persicinus;0;;0;
ASV_219;Eukaryota;Apicomplexa;Conoidasida;NA;NA;NA;Coccidia sp.;0;;0;
ASV_335;Eukaryota;Tubulinea;Elardia;Euamoebida;NA;Copromyxa;Copromyxa protea;0;;190;
ASV_266;Eukaryota;Ciliophora;Colpodea;Colpodida;Colpodidae;Exocolpoda;Exocolpoda augustini;0;;5;
ASV_400;Eukaryota;NA;NA;NA;Colpodellaceae;Colpodella;Colpodella tetrahymenae;19;;175;
ASV_115;Eukaryota;Evosea;Variosea;NA;NA;Filamoeba;Filamoeba sinensis;8;;347;
ASV_82;Eukaryota;NA;Filasterea;NA;NA;Pigoraptor;Pigoraptor vietnamica;0;;12;
ASV_89;Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida;Gonostomatidae;Gonostomum;Gonostomum strenuum;0;;168;
ASV_252;Eukaryota;Ascomycota;Lecanoromycetes;Pertusariales;Pertusariaceae;Lepra;Lepra trachythallina;0;;23;
ASV_20;Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Mesorhabditis;Mesorhabditis longespiculosa;0;;0;
ASV_25;Eukaryota;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Eisenia;Eisenia fetida;0;;3560;
ASV_355;Eukaryota;Evosea;Variosea;NA;Flamellidae;Flamella;Flamella pleistocenica;0;;52;
ASV_705;Eukaryota;Discosea;Flabellinia;NA;NA;Endostelium;Endostelium crystalliferum;0;;5;
ASV_39;Eukaryota;Cryptomycota;NA;NA;NA;Rozella;Rozella allomycis;5;;24;
ASV_456;Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida;Oxytrichidae;NA;NA;0;;14;
ASV_253;Eukaryota;Ciliophora;Colpodea;Colpodida;Colpodidae;Colpoda;Colpoda aspera;0;;18;
ASV_198;Eukaryota;Nematoda;Chromadorea;Rhabditida;Aphelenchidae;Aphelenchus;Aphelenchus avenae;0;;0;
ASV_378;Eukaryota;Ciliophora;Colpodea;Cyrtolophosidida;Cyrtolophosididae;Apocyrtolophosis;Apocyrtolophosis minor;0;;260;
ASV_505;Eukaryota;Cercozoa;Thecofilosea;Tectofilosida;NA;Rhizaspis;Rhizaspis rugosa;0;;116;
ASV_441;Eukaryota;Basidiomycota;Agaricomycetes;Polyporales;NA;NA;NA;0;;12;
ASV_299;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Barnettozyma;[Candida] norvegica;0;;0;
