"superkingdom";"phylum";"class";"order";"family";"genus";"species";"CMM.ITS_S86_L001_R1";"Compost.MB.ITS_S85_L001_R1";"Compost.R.ITS_S84_L001_R1";"Eau.GT.ITS_S81_L001_R1";"JusPatate.XT.ITS_S83_L001_R1";"Sol.GT.ITS_S82_L001_R1"
"ASV_558";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Hydnangiaceae";"Laccaria";"Laccaria trichodermophora";153;0;0;4;0;0
"ASV_561";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Stachybotryaceae";"Stachybotrys";"Stachybotrys subsylvatica";151;0;0;0;0;0
"ASV_576";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium paradoxum";146;0;0;0;0;0
"ASV_470";"Eukaryota";"Rhodophyta";"Florideophyceae";"Halymeniales";"Halymeniaceae";NA;NA;142;0;0;0;0;118
"ASV_588";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Thelonectria";"Thelonectria nodosa";140;0;0;0;0;0
"ASV_664";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";NA;"Polytolypa";"Polytolypa hystricis";139;0;0;30;0;0
"ASV_843";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Psathyrellaceae";"Coprinopsis";"Coprinopsis jilinensis";135;0;0;0;0;0
"ASV_784";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Linnemannia";"Linnemannia longigemmata";132;12;0;0;0;2
"ASV_316";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Allobotryotrichum";"Allobotryotrichum blastospora";131;14;0;0;0;208
"ASV_372";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Stolonocarpus";"Stolonocarpus gigasporus";131;0;0;0;0;177
"ASV_609";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium capsulatum";131;0;0;0;0;0
"ASV_613";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Ceratocystidaceae";"Thielaviopsis";"Thielaviopsis populi";130;0;0;0;0;0
"ASV_625";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Scedosporium";"Scedosporium aurantiacum";126;0;0;0;0;0
"ASV_911";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"Fusarium ventricosum";124;0;0;14;0;16
"ASV_615";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Gliomastix";"Gliomastix roseogrisea";122;3;0;0;0;51
"ASV_641";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Amorphothecaceae";"Amorphotheca";"Amorphotheca resinae";120;0;0;0;0;0
"ASV_693";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella polygonia";120;0;0;0;0;0
"ASV_644";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Humicola";"Humicola hyalothermophila";119;0;0;0;0;0
"ASV_645";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Paracremonium";"Paracremonium ellipsoideum";119;0;0;0;0;67
"ASV_397";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Debaryomycetaceae";"Kodamaea";"[Candida] mesenterica";116;0;0;42;106;0
"ASV_673";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Synnemellisia";"Synnemellisia aurantia";111;0;0;0;0;0
"ASV_714";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Lycoperdaceae";"Bovista";"Bovista reunionis";100;0;0;0;0;0
"ASV_520";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Rasamsonia";"Rasamsonia emersonii";99;19;0;0;0;52
"ASV_521";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Exophiala";"Exophiala tremulae";98;131;0;0;0;0
"ASV_617";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Thermoascaceae";"Paecilomyces";"Paecilomyces tenuis";98;0;0;0;0;31
"ASV_728";"Eukaryota";"Ascomycota";"Sordariomycetes";"Diaporthales";"Schizoparmaceae";"Coniella";NA;98;0;0;0;0;0
"ASV_700";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium lemhiflumine";96;3;0;0;0;5
"ASV_22";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Sordariaceae";"Sordaria";"Sordaria equicola";95;6810;0;0;0;23
"ASV_282";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Podosporaceae";"Podospora";"Podospora multipilosa";95;293;0;74;0;149
"ASV_752";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Acaulium";"Acaulium caviariforme";94;0;0;0;0;0
"ASV_824";"Eukaryota";"Ascomycota";"Lecanoromycetes";"Acarosporales";"Acarosporaceae";"Sarcogyne";NA;94;0;0;0;0;0
"ASV_793";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Linnemannia";NA;90;6;0;12;0;2
"ASV_779";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Debaryomycetaceae";"Kodamaea";"Kodamaea derodonti";89;0;0;0;0;0
"ASV_791";"Eukaryota";"Ascomycota";"Leotiomycetes";"Phacidiales";"Phacidiaceae";"Allantophomopsis";"Allantophomopsis cytisporea";87;0;0;0;0;0
"ASV_965";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Arthrodermataceae";"Arthroderma";"Arthroderma insingulare";87;0;0;0;0;0
"ASV_170";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Rhizophydiales";NA;NA;NA;86;215;0;638;0;769
"ASV_527";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Hypocreaceae";"Trichoderma";"Trichoderma hamatum";86;30;0;0;0;51
"ASV_802";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Paracremonium";"Paracremonium bendijkiorum";84;0;0;0;0;0
"ASV_803";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium charlesii";84;0;0;0;0;0
"ASV_842";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Nigrocephalum";"Nigrocephalum collariferum";83;0;0;0;0;0
"ASV_1056";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Arthrodermataceae";"Arthroderma";"Arthroderma redellii";83;0;0;0;0;0
"ASV_792";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Dactylonectria";"Dactylonectria estremocensis";80;4;0;1;0;2
"ASV_885";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Sporormiaceae";"Preussia";"Preussia polymorpha";80;0;0;0;0;0
"ASV_833";"Eukaryota";"Ascomycota";"Leotiomycetes";NA;"Myxotrichaceae";"Myxotrichum";NA;79;0;0;0;0;0
"ASV_1038";"Eukaryota";"Ascomycota";"Sordariomycetes";"Ophiostomatales";"Ophiostomataceae";"Ceratocystiopsis";"Ceratocystiopsis collifera";78;2;0;0;26;0
"ASV_1065";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Paracremonium";"Paracremonium binnewijzendii";78;0;0;0;0;58
"ASV_849";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Talaromyces";"Talaromyces heiheensis";77;0;0;0;0;0
"ASV_225";"Eukaryota";"Ascomycota";"Orbiliomycetes";"Orbiliales";"Orbiliaceae";"Arthrobotrys";"Arthrobotrys amerospora";76;9;0;0;0;776
"ASV_406";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"Fusarium petersiae";76;164;0;0;0;0
"ASV_58";"Eukaryota";"Ascomycota";"Leotiomycetes";NA;"Myxotrichaceae";"Oidiodendron";"Oidiodendron fuscum";75;983;0;0;2;2421
"ASV_865";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Mollisiaceae";NA;NA;75;0;0;0;0;0
"ASV_942";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella alpina";74;22;0;47;0;76
"ASV_735";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Lentitheciaceae";"Lentithecium";"Lentithecium aquaticum";73;23;0;50;0;2
"ASV_597";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Thermochaetoides";"Thermochaetoides dissita";72;0;0;0;0;96
"ASV_886";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Monascus";"Monascus lunisporas";72;0;0;0;0;0
"ASV_594";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Podosporaceae";"Cladorrhinum";"Cladorrhinum foecundissimum";71;0;0;26;0;40
"ASV_736";"Eukaryota";"Ascomycota";"Sordariomycetes";NA;"Conlariaceae";"Conlarium";"Conlarium duplumascospora";71;54;0;0;0;0
"ASV_98";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Sarocladiaceae";"Sarocladium";"Sarocladium kiliense";70;0;0;0;2;1273
"ASV_903";"Eukaryota";"Ascomycota";"Leotiomycetes";NA;"Myxotrichaceae";"Oidiodendron";"Oidiodendron eucalypti";69;7;0;0;0;37
"ASV_904";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Rasamsonia";"Rasamsonia cylindrospora";69;0;0;0;0;0
"ASV_329";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Kernia";"Kernia geniculotricha";68;0;0;0;0;269
"ASV_910";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Clonostachys";"Clonostachys miodochialis";68;0;0;0;0;5
"ASV_114";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium chalabudae";67;704;0;0;0;520
"ASV_302";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";NA;NA;67;350;0;0;0;5
"ASV_361";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Lentitheciaceae";NA;NA;67;1;0;13;0;201
"ASV_738";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";NA;NA;NA;67;8;43;6;4;27
"ASV_916";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Trichosporonales";"Trichosporonaceae";"Effuseotrichosporon";"Effuseotrichosporon vanderwaltii";67;0;0;0;0;0
"ASV_917";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Gymnoascaceae";"Gymnascella";"Gymnascella udagawae";67;0;0;0;0;0
"ASV_25";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Debaryomycetaceae";"Spathaspora";"[Candida] sake";66;842;0;64;11173;68
"ASV_598";"Eukaryota";"Ascomycota";"Dothideomycetes";"Microthyriales";NA;"Neoscolecobasidium";"Neoscolecobasidium agapanthi";66;229;0;0;0;0
"ASV_957";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Debaryomycetaceae";"Kurtzmaniella";"Kurtzmaniella cleridarum";66;0;0;0;39;0
"ASV_52";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Tremellales";"Trimorphomycetaceae";"Saitozyma";"Saitozyma podzolica";65;2341;0;0;8;419
"ASV_807";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Phaffomycetaceae";"Barnettozyma";"Barnettozyma californica";65;2;0;21;0;4
"ASV_938";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Microascus";"Microascus campaniformis";65;0;0;0;0;20
"ASV_19";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Trichosporonales";"Trichosporonaceae";"Cutaneotrichosporon";"Cutaneotrichosporon moniliiforme";64;7341;0;0;0;15
"ASV_944";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Acrophialophora";"Acrophialophora jodhpurensis";64;0;0;0;0;0
"ASV_351";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Lobulomycetales";"Lobulomycetaceae";"Lobulomyces";NA;63;615;0;56;0;490
"ASV_431";"Eukaryota";"Ascomycota";"Sordariomycetes";"Cephalothecales";"Cephalothecaceae";"Phialemonium";"Phialemonium atrogriseum";62;48;0;0;0;162
"ASV_976";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Mycosphaerellaceae";"Ramularia";"Ramularia vizellae";61;0;0;0;0;0
"ASV_409";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";NA;"Clathrosphaerina";"Clathrosphaerina zalewskii";60;338;0;82;0;28
"ASV_560";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Psathyrellaceae";"Coprinopsis";"Coprinopsis calospora";60;0;0;0;0;92
"ASV_987";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Microascus";"Microascus restrictus";60;0;0;0;0;0
"ASV_1279";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Aspergillus";"Aspergillus limoniformis";60;5;0;0;0;13
"ASV_426";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella yunnanensis";59;14;0;0;0;156
"ASV_876";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Ascodesmidaceae";"Ascodesmis";"Ascodesmis rosicola";59;0;0;0;0;74
"ASV_994";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusicolla";NA;59;0;0;0;0;0
"ASV_202";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium tularense";58;0;0;0;661;10
"ASV_1000";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Verticillium";"Verticillium isaacii";58;0;0;0;0;0
"ASV_1299";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Sesquicillium";"Sesquicillium phyllophilum";58;0;0;0;0;0
"ASV_988";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Psathyrellaceae";"Psathyrella";"Psathyrella lilliputana";57;0;0;0;0;27
"ASV_1012";"Eukaryota";"Ascomycota";"Dothideomycetes";"Venturiales";"Sympoventuriaceae";"Veronaeopsis";"Veronaeopsis simplex";57;0;0;0;0;0
"ASV_1013";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Microascus";"Microascus pseudopaisii";57;0;0;0;0;0
"ASV_77";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Rhizophydiales";"Kappamycetaceae";"Kappamyces";"Kappamyces laurelensis";55;115;0;4131;0;4
"ASV_592";"Eukaryota";"Ascomycota";"Laboulbeniomycetes";"Pyxidiophorales";"Pyxidiophoraceae";"Pleurocatena";"Pleurocatena brevior";55;41;0;138;0;0
"ASV_825";"Eukaryota";"Ascomycota";"Leotiomycetes";NA;"Myxotrichaceae";"Myxotrichum";"Myxotrichum cancellatum";55;21;0;0;0;4
"ASV_1187";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Dichotomopilus";NA;55;0;0;23;0;0
"ASV_1057";"Eukaryota";"Ascomycota";"Sordariomycetes";NA;"Atractosporaceae";"Atractospora";"Atractospora decumbens";54;9;0;0;0;0
"ASV_80";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Lasiosphaeriaceae";"Cercophora";"Cercophora fici";52;24;6;30;0;1830
"ASV_712";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Didymella";NA;52;133;0;0;0;0
"ASV_1077";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";NA;NA;52;0;0;0;0;0
"ASV_1278";"Eukaryota";NA;"Eustigmatophyceae";NA;NA;NA;NA;52;0;0;75;0;12
"ASV_1667";"Eukaryota";"Mucoromycota";"Mucoromycetes";"Mucorales";"Cunninghamellaceae";"Absidia";"Absidia montepascoalis";52;2;0;0;0;0
"ASV_554";"Eukaryota";"Ascomycota";"Dothideomycetes";"Eremomycetales";"Eremomycetaceae";"Arthrographis";NA;51;40;0;0;0;108
"ASV_829";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";NA;NA;NA;50;102;0;80;0;9
"ASV_1103";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Spizellomycetales";"Spizellomycetaceae";"Spizellomyces";"Spizellomyces acuminatus";50;56;0;33;0;21
"ASV_1209";"Eukaryota";"Ascomycota";"Dothideomycetes";NA;NA;"Soloacrosporiella";"Soloacrosporiella acaciae";50;7;0;10;0;8
"ASV_1512";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Tremellales";"Cuniculitremaceae";"Sterigmatosporidium";"Sterigmatosporidium polymorphum";50;0;0;0;0;0
"ASV_1042";"Eukaryota";"Ascomycota";"Sordariomycetes";"Coniochaetales";"Coniochaetaceae";"Coniochaeta";"Coniochaeta verticillata";49;8;0;0;0;32
"ASV_1113";"Eukaryota";"Ascomycota";"Sordariomycetes";"Coniochaetales";"Cordanaceae";"Cordana";"Cordana pauciseptata";49;0;0;0;0;0
"ASV_5";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Dipodascaceae";"Geotrichum";"Geotrichum silvicola";48;38;0;671;22690;982
"ASV_647";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Exophiala";"Exophiala radicis";48;25;0;70;0;32
"ASV_1355";"Eukaryota";"Ascomycota";"Dothideomycetes";NA;NA;"Pseudoarthrographis";"Pseudoarthrographis phlogis";48;6;0;0;0;0
"ASV_1369";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"Fusarium babinda";48;0;0;0;0;0
"ASV_1139";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";NA;"Aquasubmersa";"Aquasubmersa japonica";47;0;0;0;0;0
"ASV_589";"Eukaryota";"Ascomycota";"Leotiomycetes";NA;"Pseudeurotiaceae";"Pseudeurotium";"Pseudeurotium desertorum";46;62;0;0;0;152
"ASV_880";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Ophiocordycipitaceae";"Tolypocladium";"Tolypocladium ovalisporum";46;16;0;21;0;0
"ASV_1155";"Eukaryota";"Ascomycota";"Sordariomycetes";"Ophiostomatales";"Ophiostomataceae";"Leptographium";"Leptographium doddsii";46;0;0;0;0;0
"ASV_1157";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";NA;NA;46;40;0;0;0;7
"ASV_223";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium magnielliptisporum";45;97;0;0;0;399
"ASV_1170";"Eukaryota";"Ascomycota";"Leotiomycetes";"Erysiphales";"Erysiphaceae";"Parauncinula";NA;45;0;0;0;0;0
"ASV_1356";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";NA;NA;NA;45;5;0;8;0;0
"ASV_1730";"Eukaryota";"Ascomycota";"Eurotiomycetes";NA;NA;NA;NA;45;0;0;0;0;0
"ASV_257";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymosphaeriaceae";"Paraphaeosphaeria";NA;44;3;0;0;0;389
"ASV_857";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Thelonectria";"Thelonectria blackeriella";44;0;0;32;0;0
"ASV_1188";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Aspergillus";"Aspergillus westerdijkiae";44;0;0;0;0;0
"ASV_356";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Linnemannia";"Linnemannia hyalina";43;163;0;0;0;110
"ASV_1204";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Ajellomycetaceae";"Emmonsiellopsis";"Emmonsiellopsis coralliformis";43;0;0;0;0;0
"ASV_13";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Cephalotrichum";"Cephalotrichum cylindricum";41;9;0;94;0;20790
"ASV_939";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Lasiosphaeriaceae";"Apiosordaria";"Apiosordaria microcarpa";41;0;24;0;0;16
"ASV_1226";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Halosphaeriaceae";"Ascosacculus";"Ascosacculus fusiformis";41;0;0;0;0;0
"ASV_1227";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymosphaeriaceae";NA;NA;41;0;0;0;0;0
"ASV_1549";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Boletales";"Melanogastraceae";"Melanogaster";"Melanogaster rivularis";41;0;0;0;0;0
"ASV_1759";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";NA;NA;NA;41;11;0;0;0;16
"ASV_1246";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";NA;"Bulbithecium";"Bulbithecium spinosum";40;0;0;0;0;0
"ASV_1366";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";NA;NA;NA;40;0;0;0;0;14
"ASV_1406";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Onygenaceae";"Chrysosporium";"Chrysosporium carmichaelii";40;0;0;0;0;0
"ASV_6";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Sordariaceae";"Neurospora";NA;39;0;0;0;0;15478
"ASV_737";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Ilyonectria";"Ilyonectria lusitanica";39;51;0;0;0;7
"ASV_1262";"Eukaryota";"Ciliophora";"Spirotrichea";"Sporadotrichida";"Oxytrichidae";"Hemiurosomoida";"Hemiurosomoida longa";39;0;0;0;0;39
"ASV_17";"Eukaryota";"Streptophyta";"Bryopsida";"Bryales";"Mniaceae";"Plagiomnium";"Plagiomnium medium";37;363;0;12550;0;447
"ASV_486";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Mycothermus";"Mycothermus thermophiloides";37;0;0;0;0;186
"ASV_1148";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Onygenaceae";"Aphanoascus";"Aphanoascus verrucosus";37;47;0;0;0;0
"ASV_1297";"Eukaryota";"Ascomycota";"Sordariomycetes";"Coronophorales";"Ceratostomataceae";"Echinusitheca";"Echinusitheca citrispora";37;0;0;0;0;0
"ASV_1298";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Ijuhya";"Ijuhya corynospora";37;0;0;0;0;0
"ASV_74";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Filobasidiales";"Piskurozymaceae";"Solicoccozyma";"Solicoccozyma terricola";36;1754;0;0;0;395
"ASV_1327";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Apiosporaceae";"Apiospora";NA;35;0;0;0;0;0
"ASV_1328";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Amniculicolaceae";"Amniculicola";"Amniculicola lignicola";35;0;0;0;0;0
"ASV_153";"Eukaryota";"Ciliophora";"Oligohymenophorea";"Astomatida";NA;NA;NA;34;1569;0;0;0;15
"ASV_1719";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Verruciconidia";"Verruciconidia persicina";34;0;0;0;0;0
"ASV_963";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Modicella";"Modicella albostipitata";33;0;0;0;0;67
"ASV_1373";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Ilyonectria";"Ilyonectria robusta";33;0;0;0;0;0
"ASV_1806";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Arachnomycetaceae";"Arachnomyces";"Arachnomyces minimus";33;0;0;0;0;0
"ASV_1577";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Paracremonium";NA;32;0;0;0;0;0
"ASV_462";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Holtermanniales";NA;"Holtermanniella";NA;31;205;0;36;3;20
"ASV_1383";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Nigrogranaceae";"Nigrograna";"Nigrograna antibiotica";31;0;0;33;0;0
"ASV_1405";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Nigrogranaceae";"Nigrograna";"Nigrograna norvegica";31;26;0;0;0;0
"ASV_1750";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Malbrancheaceae";"Malbranchea";"Malbranchea longispora";31;0;0;0;0;0
"ASV_433";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Debaryomycetaceae";"Debaryomyces";"Debaryomyces hansenii";30;0;0;0;280;1
"ASV_858";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Tricladiaceae";"Spirosphaera";"Spirosphaera floriformis";30;42;0;0;0;4
"ASV_1058";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Hypocreaceae";"Trichoderma";"Trichoderma hebeiense";30;0;0;0;0;24
"ASV_1064";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Geosmithia";"Geosmithia rufescens";30;0;0;62;0;4
"ASV_1115";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Podosporaceae";"Podospora";"Podospora dimorpha";30;0;8;7;0;11
"ASV_1426";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Cylindrocladiella";"Cylindrocladiella stellenboschensis";30;0;0;0;0;0
"ASV_1427";"Eukaryota";"Basidiomycota";"Cystobasidiomycetes";NA;NA;"Sakaguchia";"Sakaguchia meli";30;0;0;0;0;0
"ASV_1428";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Nectriopsis";"Nectriopsis lindauiana";30;0;0;0;0;0
"ASV_1002";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Thyridariaceae";"Parathyridaria";"Parathyridaria ramulicola";29;58;0;0;0;0
"ASV_1443";"Eukaryota";"Ascomycota";"Sordariomycetes";NA;"Amplistromataceae";"Amplistroma";"Amplistroma erinaceum";29;0;0;0;0;0
"ASV_1445";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Lasiosphaeriaceae";"Apodus";"Apodus deciduus";29;0;0;0;0;0
