tax_id,superkingdom,phylum,class,order,family,genus,species,CMM-16S_S43_L001_R1,Compost-MB-16S_S42_L001_R1,Compost-R-16S_S41_L001_R1,Eau-GT-16S_S38_L001_R1,JusPatate-XT-16S_S40_L001_R1,Sol-GT-16S_S39_L001_R1
28056,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,,,0,0,0,0,0,115
1231,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,Nitrosospira multiformis,114,0,0,0,0,0
81,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Hyphomicrobium,,51,0,0,7,0,56
467974,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus macquariensis,0,114,0,0,0,0
1839,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,,0,114,0,0,0,0
85021,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,,,0,0,0,0,0,114
1612172,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter,Vicinamibacter silvestris,113,0,0,0,0,0
363844,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax ginsengisoli,0,113,0,0,0,0
335992,Bacteria,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Pelagibacter,Candidatus Pelagibacter ubique,0,0,0,113,0,0
1484693,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax saidenbachensis,0,0,0,113,0,0
1484693,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax saidenbachensis,0,0,0,113,0,0
407974,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora kazusensis,0,0,0,10,0,103
51670,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium facile,112,0,0,0,0,0
1002870,Bacteria,Actinomycetota,Rubrobacteria,Gaiellales,Gaiellaceae,Gaiella,Gaiella occulta,112,0,0,0,0,0
49,Bacteria,Myxococcota,,Polyangiales,Polyangiaceae,,,0,112,0,0,0,0
940133,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas limnosediminicola,0,112,0,0,0,0
2136183,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sichuanensis,0,0,0,112,0,0
853,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,0,0,0,112,0,0
694315,Bacteria,Myxococcota,,Haliangiales,Kofleriaceae,Kofleria,Kofleria flava,0,0,0,0,0,112
1400387,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Bythopirellula,Bythopirellula goksoeyrii,0,0,0,0,0,112
331696,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Pseudolabrys,Pseudolabrys taiwanensis,0,0,0,0,0,112
2789776,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola,Actinomarinicola tropica,111,0,0,0,0,0
1331058,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter fluminis,104,0,0,7,0,0
381630,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium jeotgali,0,0,64,4,43,0
508460,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Cloacibacillus evryensis,0,0,0,111,0,0
1435465,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Fluviicoccus,Fluviicoccus keumensis,0,0,0,111,0,0
926550,Bacteria,Chloroflexota,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea,Caldilinea aerophila,0,0,0,0,0,111
1294026,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Aciditerrimonas,Aciditerrimonas ferrireducens,0,0,0,0,0,111
135613,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,,,,110,0,0,0,0,0
1204385,Bacteria,Chloroflexota,Caldilineae,Caldilineales,Caldilineaceae,Litorilinea,Litorilinea aerophila,110,0,0,0,0,0
1387353,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Paludisphaera,Paludisphaera borealis,0,110,0,0,0,0
1353889,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter pestifer,0,0,0,110,0,0
1263962,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Caldimonas,Caldimonas meghalayensis,0,0,0,110,0,0
49,Bacteria,Myxococcota,,Polyangiales,Polyangiaceae,,,0,0,0,0,0,110
1855912,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,Luteitalea pratensis,0,0,0,0,0,110
2057,Bacteria,Thermomicrobiota,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus,109,0,0,0,0,0
1346290,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Methyloversatilis,Methyloversatilis thermotolerans,109,0,0,0,0,0
81,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Hyphomicrobium,,109,0,0,0,0,0
467976,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,Iamia majanohamensis,109,0,0,0,0,0
497964,Bacteria,Verrucomicrobiota,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter flavus,0,109,0,0,0,0
909926,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Tabrizicola,Tabrizicola aquatica,0,15,0,94,0,0
1792502,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Puia,Puia dinghuensis,0,109,0,0,0,0
1229656,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Acidibacter,Acidibacter ferrireducens,0,0,0,0,0,109
1294026,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Aciditerrimonas,Aciditerrimonas ferrireducens,0,0,0,0,0,109
1331058,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter fluminis,108,0,0,0,0,0
47494,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Pedomicrobium,,21,0,0,0,0,87
1400387,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Bythopirellula,Bythopirellula goksoeyrii,7,19,0,8,0,74
638269,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,Stutzerimonas urumqiensis,0,0,76,0,32,0
28198,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter cryaerophilus,0,0,0,108,0,0
1885912,Bacteria,Myxococcota,,Polyangiales,Polyangiaceae,Racemicystis,Racemicystis persica,0,0,0,0,0,108
29407,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodoplanes,,0,0,0,0,0,108
1404360,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter phytolaccae,107,0,0,0,0,0
2057,Bacteria,Thermomicrobiota,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus,107,0,0,0,0,0
1189325,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Oceanicella,Oceanicella actignis,107,0,0,0,0,0
525924,Bacteria,Myxococcota,,Polyangiales,Phaselicystidaceae,Phaselicystis,Phaselicystis flava,0,0,0,0,0,107
1331058,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter fluminis,106,0,0,0,0,0
1883,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,,51,0,0,0,0,55
2800681,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Aurantiacibacter,,47,32,0,0,0,27
1400387,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Bythopirellula,Bythopirellula goksoeyrii,106,0,0,0,0,0
1116389,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,Devosia insulae,0,106,0,0,0,0
29409,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodoplanes,Rhodoplanes roseus,105,0,0,0,0,0
2762286,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Fulvivirgaceae,,,105,0,0,0,0,0
1855912,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,Luteitalea pratensis,74,0,0,0,0,31
1612172,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter,Vicinamibacter silvestris,30,0,0,0,0,75
48466,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,Prosthecobacter vanneervenii,0,105,0,0,0,0
756272,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera brasiliensis,0,105,0,0,0,0
49,Bacteria,Myxococcota,,Polyangiales,Polyangiaceae,,,0,105,0,0,0,0
592050,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax soli,0,0,0,105,0,0
201975,Bacteria,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Planifilum,Planifilum fimeticola,0,0,0,0,0,105
1873,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,,49,0,0,0,0,55
1082276,Bacteria,Bacillota,,,,Hydrogenispora,Hydrogenispora ethanolica,33,0,0,0,0,71
1294026,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Aciditerrimonas,Aciditerrimonas ferrireducens,0,63,0,0,0,41
1678,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,0,0,0,104,0,0
2303521,Bacteria,Cyanobacteriota,Cyanophyceae,Oculatellales,Oculatellaceae,Tildeniella,Tildeniella nuda,0,0,0,104,0,0
92645,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum frisingense,0,0,0,104,0,0
694315,Bacteria,Myxococcota,,Haliangiales,Kofleriaceae,Kofleria,Kofleria flava,0,0,0,0,0,104
1400387,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Bythopirellula,Bythopirellula goksoeyrii,103,0,0,0,0,0
490573,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter ginsenosidimutans,103,0,0,0,0,0
47495,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Pedomicrobium,Pedomicrobium americanum,103,0,0,0,0,0
1612172,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter,Vicinamibacter silvestris,33,0,0,9,0,61
1255043,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,Thioalkalivibrio nitratireducens,47,0,0,0,0,56
159449,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Embleya,Embleya scabrispora,0,103,0,0,0,0
1079,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Blastochloridaceae,Blastochloris,Blastochloris viridis,0,103,0,0,0,0
266125,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium koreense,0,84,0,0,0,19
1324935,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Limisphaerales,Limisphaeraceae,Limisphaera,Limisphaera ngatamarikiensis,0,103,0,0,0,0
1346290,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Methyloversatilis,Methyloversatilis thermotolerans,102,0,0,0,0,0
2789776,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola,Actinomarinicola tropica,59,0,0,18,0,25
1060,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodobacter,,102,0,0,0,0,0
45401,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,,,102,0,0,0,0,0
49,Bacteria,Myxococcota,,Polyangiales,Polyangiaceae,,,0,102,0,0,0,0
1838286,Bacteria,Verrucomicrobiota,Opitutae,Opitutales,Opitutaceae,Lacunisphaera,Lacunisphaera limnophila,0,40,0,12,0,50
2169409,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium laiguense,0,27,0,44,0,31
1484693,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax saidenbachensis,0,0,0,102,0,0
301302,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia faecis,0,0,0,102,0,0
202955,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter tjernbergiae,0,0,0,102,0,0
1217100,Bacteria,Actinomycetota,Actinomycetes,Jiangellales,Jiangellaceae,,,0,0,0,0,0,102
1473598,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Paludibaculum,Paludibaculum fermentans,0,0,0,0,0,102
53461,Bacteria,Actinomycetota,Actinomycetes,Nakamurellales,Nakamurellaceae,Nakamurella,Nakamurella multipartita,101,0,0,0,0,0
32003,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,,,,101,0,0,0,0,0
60489,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides nitrophenolicus,45,26,0,4,0,26
29407,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodoplanes,,101,0,0,0,0,0
1392758,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Rhizocola,Rhizocola hellebori,85,0,0,0,0,16
1002870,Bacteria,Actinomycetota,Rubrobacteria,Gaiellales,Gaiellaceae,Gaiella,Gaiella occulta,72,0,0,0,0,29
1404360,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter phytolaccae,101,0,0,0,0,0
1294026,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Aciditerrimonas,Aciditerrimonas ferrireducens,60,41,0,0,0,0
2057,Bacteria,Thermomicrobiota,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus,101,0,0,0,0,0
189966,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Rhizomicrobium palustre,0,101,0,0,0,0
225345,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium chromiireducens,0,0,0,44,0,57
356,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,,,0,0,0,0,0,101
1392758,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Rhizocola,Rhizocola hellebori,100,0,0,0,0,0
2789776,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola,Actinomarinicola tropica,100,0,0,0,0,0
53399,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium denitrificans,100,0,0,0,0,0
745368,Bacteria,Bacillota,Clostridia,Eubacteriales,,Gemmiger,Gemmiger formicilis,0,0,0,100,0,0
821,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,0,0,0,100,0,0
44013,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,,0,0,0,100,0,0
1379270,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas phototrophica,72,0,0,0,0,27
433663,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides islandensis,99,0,0,0,0,0
2789776,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola,Actinomarinicola tropica,79,0,0,6,0,14
252231,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides aestuarii,99,0,0,0,0,0
1473598,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Paludibaculum,Paludibaculum fermentans,0,99,0,0,0,0
406547,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Rubripirellula,Rubripirellula obstinata,0,0,0,0,0,99
1235591,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,Pseudorhodoplanes,Pseudorhodoplanes sinuspersici,0,0,0,0,0,99
363630,Bacteria,Actinomycetota,Actinomycetes,Nakamurellales,Nakamurellaceae,Nakamurella,Nakamurella flavida,0,98,0,0,0,0
1002870,Bacteria,Actinomycetota,Rubrobacteria,Gaiellales,Gaiellaceae,Gaiella,Gaiella occulta,0,98,0,0,0,0
595536,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylosinus,Methylosinus trichosporium,0,98,0,0,0,0
56698,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,Sulfurospirillum arsenophilum,0,0,0,98,0,0
2662189,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Calotrichaceae,Dulcicalothrix,,0,0,0,98,0,0
73029,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,,0,0,0,98,0,0
1673609,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter albensis,0,0,0,98,0,0
1321609,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax boronicumulans,0,0,0,0,98,0
1235591,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,Pseudorhodoplanes,Pseudorhodoplanes sinuspersici,0,0,0,0,0,98
1331058,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter fluminis,97,0,0,0,0,0
912552,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Conexibacter arvalis,97,0,0,0,0,0
1813878,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas agri,38,0,0,10,0,49
45462,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus borstelensis,93,0,0,4,0,0
1002870,Bacteria,Actinomycetota,Rubrobacteria,Gaiellales,Gaiellaceae,Gaiella,Gaiella occulta,97,0,0,0,0,0
1384459,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Methyloceanibacter,Methyloceanibacter caenitepidi,97,0,0,0,0,0
203799,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides aquiterrae,97,0,0,0,0,0
1386,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,,97,0,0,0,0,0
29409,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodoplanes,Rhodoplanes roseus,97,0,0,0,0,0
401053,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terriglobus,Terriglobus saanensis,0,97,0,0,0,0
930171,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter phenanthrenivorans,0,97,0,0,0,0
2519477,Bacteria,Cyanobacteriota,Cyanophyceae,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa fuliginosa,0,0,0,97,0,0
1193518,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Tetrasphaera,Tetrasphaera jenkinsii,0,0,0,97,0,0
642,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,0,0,0,97,0,0
338969,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax ferrireducens,0,0,0,97,0,0
1485,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,,0,0,0,97,0,0
931,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Thiobacillaceae,Thiobacillus,Thiobacillus thioparus,0,0,0,0,0,97
1391654,Bacteria,Myxococcota,,Polyangiales,Labilitrichaceae,Labilithrix,Labilithrix luteola,0,0,0,0,0,97
153376,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia zijingensis,0,0,0,0,0,97
340097,Bacteria,Bacillota,Bacilli,Bacillales,Sporolactobacillaceae,Tuberibacillus,Tuberibacillus calidus,0,0,0,0,0,97
530564,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula staleyi,96,0,0,0,0,0
1048221,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter litoreus,0,96,0,0,0,0
1368474,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Romboutsia,Romboutsia sedimentorum,0,3,0,63,0,30
80866,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia acidovorans,0,0,0,96,0,0
28211,Bacteria,Pseudomonadota,Alphaproteobacteria,,,,,95,0,0,0,0,0
2057,Bacteria,Thermomicrobiota,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus,95,0,0,0,0,0
1095767,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas massiliensis,95,0,0,0,0,0
201174,Bacteria,Actinomycetota,,,,,,95,0,0,0,0,0
1404360,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter phytolaccae,95,0,0,0,0,0
1867774,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Dongiaceae,Aliidongia,Aliidongia dinghuensis,0,95,0,0,0,0
203799,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides aquiterrae,0,95,0,0,0,0
1839,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,,0,95,0,0,0,0
1054498,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Aquaspirillaceae,Rivihabitans,Rivihabitans pingtungensis,0,0,0,95,0,0
1485,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,,0,0,0,95,0,0
59282,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Blastochloridaceae,Blastochloris,,0,0,0,0,0,95
1379270,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas phototrophica,94,0,0,0,0,0
1612172,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter,Vicinamibacter silvestris,94,0,0,0,0,0
191494,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,,94,0,0,0,0,0
659006,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Chelatococcaceae,Camelimonas,Camelimonas lactis,94,0,0,0,0,0
47495,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Pedomicrobium,Pedomicrobium americanum,68,0,0,0,0,26
1073,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,,0,94,0,0,0,0
2979332,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Prescottella,,0,94,0,0,0,0
948519,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas rivipollensis,0,0,0,94,0,0
28066,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax fermentans,0,0,0,94,0,0
537011,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,0,0,0,94,0,0
1963835,Bacteria,Pseudomonadota,Alphaproteobacteria,Geminicoccales,Geminicoccaceae,Arboricoccus,Arboricoccus pini,93,0,0,0,0,0
28056,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,,,93,0,0,0,0,0
1235591,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,Pseudorhodoplanes,Pseudorhodoplanes sinuspersici,93,0,0,0,0,0
1612172,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter,Vicinamibacter silvestris,43,0,0,0,0,50
2024524,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,Terrimonas soli,0,93,0,0,0,0
46913,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,,0,93,0,0,0,0
484018,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,0,0,0,93,0,0
616952,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Kaistiaceae,Bauldia,Bauldia consociata,0,0,0,0,0,93
1210884,Bacteria,Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Gemmata massiliana,92,0,0,0,0,0
